"Quarters","Rent_VW"
"CBSAID","14740"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3","14.4906902313232"
"2007Q4","15.2064733505249"
"2008Q1","16.3738651275635"
"2008Q2","17.0766716003418"
"2008Q3","17.1905155181885"
"2008Q4","17.14182472229"
"2009Q1","17.1034202575684"
"2009Q2","16.9022159576416"
"2009Q3","16.3113784790039"
"2009Q4","16.1872272491455"
"2010Q1","16.3047962188721"
"2010Q2","16.8207969665527"
"2010Q3","16.8262691497803"
"2010Q4","16.7988681793213"
"2011Q1","16.618501663208"
"2011Q2","17.2784404754639"
"2011Q3","16.9610214233398"
"2011Q4","16.805549621582"
