"Quarters","Rent_VW"
"CBSAID","16860"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","15.519401550293"
"2008Q1","15.7794256210327"
"2008Q2","15.3281259536743"
"2008Q3","14.9928903579712"
"2008Q4","14.9502363204956"
"2009Q1","14.8462390899658"
"2009Q2","14.9095344543457"
"2009Q3","14.4901895523071"
"2009Q4","14.1225500106812"
"2010Q1","14.4093418121338"
"2010Q2","14.3764247894287"
"2010Q3","14.295690536499"
"2010Q4","14.1650238037109"
"2011Q1","13.7161531448364"
"2011Q2","13.7050838470459"
"2011Q3","13.6652879714966"
"2011Q4","13.7346563339233"
