"Quarters","Rent_VW"
"CBSAID","17900"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1","13.8497982025146"
"2007Q2","13.8974304199219"
"2007Q3","13.9315223693848"
"2007Q4","14.3111152648926"
"2008Q1","14.2037334442139"
"2008Q2","14.2142753601074"
"2008Q3","14.1460981369019"
"2008Q4","14.1868963241577"
"2009Q1","14.271767616272"
"2009Q2","14.3959455490112"
"2009Q3","14.7021980285645"
"2009Q4","15.0303030014038"
"2010Q1","14.9875650405884"
"2010Q2","14.8135499954224"
"2010Q3","14.7750816345215"
"2010Q4","14.833212852478"
"2011Q1","14.6776132583618"
"2011Q2","14.683690071106"
"2011Q3","14.4591875076294"
"2011Q4","14.4641361236572"
