"Quarters","Rent_VW"
"CBSAID","19660"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1","15.7542181015015"
"2007Q2","14.9655275344849"
"2007Q3","14.6960105895996"
"2007Q4","14.743067741394"
"2008Q1","14.9746284484863"
"2008Q2","15.729024887085"
"2008Q3","15.5095291137695"
"2008Q4","15.3102531433105"
"2009Q1","15.2940645217896"
"2009Q2","15.1754703521729"
"2009Q3","15.090051651001"
"2009Q4","14.2274255752563"
"2010Q1","13.4620265960693"
"2010Q2","13.7117223739624"
"2010Q3","13.8040437698364"
"2010Q4","13.8757696151733"
"2011Q1","13.9277229309082"
"2011Q2","14.0262403488159"
"2011Q3","13.6508569717407"
"2011Q4","13.7363243103027"
