"Quarters","Rent_VW"
"CBSAID","15980"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","16.8373966217041"
"2006Q2","17.6278762817383"
"2006Q3","17.6814403533936"
"2006Q4","19.6737194061279"
"2007Q1","20.1535968780518"
"2007Q2","19.9839839935303"
"2007Q3","19.9540157318115"
"2007Q4","19.5810165405273"
"2008Q1","19.0149269104004"
"2008Q2","18.4530429840088"
"2008Q3","18.1839237213135"
"2008Q4","17.8514270782471"
"2009Q1","17.3310222625732"
"2009Q2","16.7836513519287"
"2009Q3","16.9294948577881"
"2009Q4","15.0773458480835"
"2010Q1","15.0612812042236"
"2010Q2","15.1502132415771"
"2010Q3","14.5999031066895"
"2010Q4","14.7618865966797"
"2011Q1","14.6248979568481"
"2011Q2","14.631591796875"
"2011Q3","15.3554153442383"
"2011Q4","15.2437963485718"
