"Quarters","Rent_VW"
"CBSAID","25180"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3","15.642671585083"
"2005Q4","18.2015190124512"
"2006Q1","18.4530143737793"
"2006Q2","18.8670825958252"
"2006Q3","18.2387142181396"
"2006Q4","17.175895690918"
"2007Q1","18.0582180023193"
"2007Q2","18.2413291931152"
"2007Q3","18.7666988372803"
"2007Q4","18.6394290924072"
"2008Q1","17.4515151977539"
"2008Q2","17.7580299377441"
"2008Q3","17.5982685089111"
"2008Q4","17.8593273162842"
"2009Q1","17.4828014373779"
"2009Q2","16.8969058990479"
"2009Q3","16.8739948272705"
"2009Q4","17.2267284393311"
"2010Q1","17.1109981536865"
"2010Q2","17.1086311340332"
"2010Q3","16.4491405487061"
"2010Q4","15.9915294647217"
"2011Q1","16.5990104675293"
"2011Q2","16.3127002716064"
"2011Q3","15.1757593154907"
"2011Q4","15.1647186279297"
