"Quarters","Rent_VW"
"CBSAID","26580"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","11.0505800247192"
"2008Q1","10.9961404800415"
"2008Q2","11.056303024292"
"2008Q3","11.0710105895996"
"2008Q4","10.3754835128784"
"2009Q1","9.66311359405518"
"2009Q2","10.4719734191895"
"2009Q3","10.455228805542"
"2009Q4","10.8486433029175"
"2010Q1","10.7470865249634"
"2010Q2","10.7924785614014"
"2010Q3","10.9592151641846"
"2010Q4","11.1795225143433"
"2011Q1","11.4773588180542"
"2011Q2","10.7614841461182"
"2011Q3","11.4387350082397"
"2011Q4","11.3715057373047"
