"Quarters","Rent_VW"
"CBSAID","26620"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","13.0808019638062"
"2008Q1","13.3824434280396"
"2008Q2","13.5026054382324"
"2008Q3","13.6607294082642"
"2008Q4","13.4742422103882"
"2009Q1","14.9537143707275"
"2009Q2","14.8183755874634"
"2009Q3","14.6553525924683"
"2009Q4","14.5209283828735"
"2010Q1","14.6707859039307"
"2010Q2","15.0695972442627"
"2010Q3","15.0203237533569"
"2010Q4","14.256986618042"
"2011Q1","14.5064477920532"
"2011Q2","14.421703338623"
"2011Q3","14.5081062316895"
"2011Q4","14.5485897064209"
