"Quarters","Rent_VW"
"CBSAID","29940"
"2005Q1","19.0677337646484"
"2005Q2","18.9823970794678"
"2005Q3","17.2011947631836"
"2005Q4","17.2326622009277"
"2006Q1","16.2983913421631"
"2006Q2","16.4005336761475"
"2006Q3","16.3719692230225"
"2006Q4","16.2640705108643"
"2007Q1","15.5729303359985"
"2007Q2","17.3300037384033"
"2007Q3","17.5635509490967"
"2007Q4","17.3624839782715"
"2008Q1","17.2723197937012"
"2008Q2","17.42041015625"
"2008Q3","16.9585514068604"
"2008Q4","18.0975513458252"
"2009Q1","16.7877883911133"
"2009Q2","16.6031551361084"
"2009Q3","17.0356903076172"
"2009Q4","16.5160636901855"
"2010Q1","17.4290161132812"
"2010Q2","17.2554588317871"
"2010Q3","16.2162914276123"
"2010Q4","16.0728302001953"
"2011Q1","16.4344444274902"
"2011Q2","16.4607391357422"
"2011Q3","16.5632171630859"
"2011Q4","16.5984878540039"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1","17.4565353393555"
"2004Q2","18.3569297790527"
"2004Q3","18.7981567382812"
"2004Q4","18.8729496002197"
