"Quarters","Rent_VW"
"CBSAID","32580"
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","13.3923425674438"
"2008Q1","13.6674375534058"
"2008Q2","13.9727258682251"
"2008Q3","13.5962982177734"
"2008Q4","14.1913757324219"
"2009Q1","14.9834938049316"
"2009Q2","14.9587364196777"
"2009Q3","15.4965963363647"
"2009Q4","16.230152130127"
"2010Q1","16.129753112793"
"2010Q2","16.0045013427734"
"2010Q3","16.1276226043701"
"2010Q4","15.5924739837646"
"2011Q1","15.6662139892578"
"2011Q2","15.5117378234863"
"2011Q3","15.7436618804932"
"2011Q4","16.1473255157471"
