"Quarters","Rent_VW"
"CBSAID","33700"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2","18.0118923187256"
"2007Q3","18.0597953796387"
"2007Q4","18.2281074523926"
"2008Q1","17.8519077301025"
"2008Q2","17.9168586730957"
"2008Q3","17.694408416748"
"2008Q4","17.7346477508545"
"2009Q1","17.8177318572998"
"2009Q2","17.7384738922119"
"2009Q3","17.5762367248535"
"2009Q4","17.1287040710449"
"2010Q1","16.678129196167"
"2010Q2","16.4830913543701"
"2010Q3","16.312614440918"
"2010Q4","16.1695041656494"
"2011Q1","15.0829763412476"
"2011Q2","14.8812131881714"
"2011Q3","15.081732749939"
"2011Q4","14.6313314437866"
