"Quarters","Rent_VW"
"CBSAID","38940"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2","18.7903137207031"
"2007Q3","18.6024913787842"
"2007Q4","18.7662754058838"
"2008Q1","18.4849433898926"
"2008Q2","17.6532611846924"
"2008Q3","17.7904109954834"
"2008Q4","17.5939331054688"
"2009Q1","17.8769607543945"
"2009Q2","17.8535861968994"
"2009Q3","17.6448802947998"
"2009Q4","16.5162353515625"
"2010Q1","16.470344543457"
"2010Q2","16.3435020446777"
"2010Q3","16.0292797088623"
"2010Q4","16.0138874053955"
"2011Q1","16.1833667755127"
"2011Q2","16.2768306732178"
"2011Q3","16.1449794769287"
"2011Q4","16.0523986816406"
