"Quarters","Rent_VW"
"CBSAID","41500"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","18.7218837738037"
"2008Q1","20.1455402374268"
"2008Q2","20.2324447631836"
"2008Q3","20.1155643463135"
"2008Q4","20.3348026275635"
"2009Q1","20.1457996368408"
"2009Q2","20.6977710723877"
"2009Q3","21.0954475402832"
"2009Q4","21.2546901702881"
"2010Q1","20.1716594696045"
"2010Q2","21.3494186401367"
"2010Q3","21.6597194671631"
"2010Q4","21.0532245635986"
"2011Q1","20.8221130371094"
"2011Q2","20.8010635375977"
"2011Q3","20.5766353607178"
"2011Q4","20.678430557251"
