"Quarters","Rent_VW"
"CBSAID","41780"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","9.56318187713623"
"2006Q2","11.0497226715088"
"2006Q3","11.0493412017822"
"2006Q4","11.0493412017822"
"2007Q1","13.5199604034424"
"2007Q2","10.0606241226196"
"2007Q3","10.0567760467529"
"2007Q4","10.3476047515869"
"2008Q1","10.4627304077148"
"2008Q2","10.4627304077148"
"2008Q3","11.4916152954102"
"2008Q4","10.8889827728271"
"2009Q1","12.0655918121338"
"2009Q2","12.4519128799438"
"2009Q3","11.5279912948608"
"2009Q4","11.7128133773804"
"2010Q1","11.4134645462036"
"2010Q2","11.5554933547974"
"2010Q3","12.2885713577271"
"2010Q4","11.6946039199829"
"2011Q1","12.5303583145142"
"2011Q2","12.259991645813"
"2011Q3","12.3496246337891"
"2011Q4","12.9131269454956"
