"Quarters","Rent_VW"
"CBSAID","43100"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","11.0569229125977"
"2006Q2","11.0726432800293"
"2006Q3","11.1088838577271"
"2006Q4","11.2486448287964"
"2007Q1","11.5170030593872"
"2007Q2","11.54416847229"
"2007Q3","12.2008934020996"
"2007Q4","12.2564496994019"
"2008Q1","12.6097383499146"
"2008Q2","12.3594818115234"
"2008Q3","12.295636177063"
"2008Q4","12.295636177063"
"2009Q1","11.8032369613647"
"2009Q2","12.2256879806519"
"2009Q3","12.1767816543579"
"2009Q4","11.696720123291"
"2010Q1","11.5241937637329"
"2010Q2","11.9720611572266"
"2010Q3","12.6529445648193"
"2010Q4","14.7806253433228"
"2011Q1","14.3389854431152"
"2011Q2","14.7520313262939"
"2011Q3","14.9120607376099"
"2011Q4","14.8191394805908"
