"Quarters","Rent_VW"
"CBSAID","44060"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3","15.604341506958"
"2007Q4","15.7073545455933"
"2008Q1","16.4666633605957"
"2008Q2","16.2935199737549"
"2008Q3","15.9746723175049"
"2008Q4","16.0052433013916"
"2009Q1","15.970591545105"
"2009Q2","15.698410987854"
"2009Q3","15.6869821548462"
"2009Q4","15.3831834793091"
"2010Q1","15.1324548721313"
"2010Q2","15.516902923584"
"2010Q3","15.2722568511963"
"2010Q4","15.811318397522"
"2011Q1","15.2285585403442"
"2011Q2","15.1935300827026"
"2011Q3","15.0993642807007"
"2011Q4","15.2087154388428"
