"Quarters","Rent_VW"
"CBSAID","46060"
"2007Q2","19.021915435791"
"2007Q3","19.571590423584"
"2007Q4","19.954891204834"
"2008Q1","20.0770969390869"
"2008Q2","19.9686317443848"
"2008Q3","19.9134693145752"
"2008Q4","19.9432106018066"
"2009Q1","19.9613075256348"
"2009Q2","19.7299556732178"
"2009Q3","19.7455520629883"
"2009Q4","19.1254692077637"
"2010Q1","19.2092704772949"
"2010Q2","19.0852909088135"
"2010Q3","19.027172088623"
"2010Q4","18.9898300170898"
"2011Q1","18.8773632049561"
"2011Q2","18.8271312713623"
"2011Q3","18.7325553894043"
"2011Q4","18.6035022735596"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3","18.3597869873047"
"2005Q4","18.5242881774902"
"2006Q1","18.0778064727783"
"2006Q2","18.788158416748"
"2006Q3","18.6760883331299"
"2006Q4","18.8513774871826"
"2007Q1","18.9377689361572"
