"Quarters","Rent_VW"
"CBSAID","49180"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","12.9719753265381"
"2006Q2","13.0392074584961"
"2006Q3","13.2819013595581"
"2006Q4","13.5036010742188"
"2007Q1","13.4367332458496"
"2007Q2","13.3900470733643"
"2007Q3","13.2900819778442"
"2007Q4","13.3212146759033"
"2008Q1","13.3981161117554"
"2008Q2","13.3272686004639"
"2008Q3","13.3911333084106"
"2008Q4","13.4161043167114"
"2009Q1","13.4214239120483"
"2009Q2","13.5439958572388"
"2009Q3","13.4894876480103"
"2009Q4","13.6774120330811"
"2010Q1","13.3959159851074"
"2010Q2","13.3015623092651"
"2010Q3","12.9772157669067"
"2010Q4","12.9145650863647"
"2011Q1","12.8304786682129"
"2011Q2","12.5665988922119"
"2011Q3","12.6936416625977"
"2011Q4","12.5280208587646"
