"Quarters","Rent_VW"
"CBSAID","10580"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3","12.6976022720337"
"2007Q4","13.3290729522705"
"2008Q1","13.1037435531616"
"2008Q2","13.3145446777344"
"2008Q3","12.903956413269"
"2008Q4","12.9710807800293"
"2009Q1","12.8247194290161"
"2009Q2","12.5021715164185"
"2009Q3","12.2572250366211"
"2009Q4","12.3777742385864"
"2010Q1","12.1482334136963"
"2010Q2","12.2571258544922"
"2010Q3","12.4321823120117"
"2010Q4","11.7337989807129"
"2011Q1","11.7120494842529"
"2011Q2","12.0386009216309"
"2011Q3","12.2327060699463"
"2011Q4","12.2320880889893"
