"Quarters","Rent_VW"
"CBSAID","12100"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","12.2336654663086"
"2008Q1","14.0241079330444"
"2008Q2","13.4386596679688"
"2008Q3","13.2125387191772"
"2008Q4","13.7774887084961"
"2009Q1","14.3428354263306"
"2009Q2","14.9916839599609"
"2009Q3","14.9703540802002"
"2009Q4","15.5411586761475"
"2010Q1","15.5974893569946"
"2010Q2","15.2752799987793"
"2010Q3","14.5373220443726"
"2010Q4","14.3059053421021"
"2011Q1","13.8464260101318"
"2011Q2","14.2499589920044"
"2011Q3","13.2321796417236"
"2011Q4","12.8938188552856"
