"Quarters","Rent_VW"
"CBSAID","14500"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","19.3731346130371"
"2006Q2","19.114501953125"
"2006Q3","19.7331619262695"
"2006Q4","19.4840030670166"
"2007Q1","19.1873245239258"
"2007Q2","18.9170722961426"
"2007Q3","18.7026691436768"
"2007Q4","17.822925567627"
"2008Q1","18.1390018463135"
"2008Q2","17.9645290374756"
"2008Q3","17.7941703796387"
"2008Q4","17.3645000457764"
"2009Q1","17.0173606872559"
"2009Q2","16.8456058502197"
"2009Q3","16.3338413238525"
"2009Q4","15.9733362197876"
"2010Q1","15.9519567489624"
"2010Q2","16.3583946228027"
"2010Q3","16.5572986602783"
"2010Q4","16.4067249298096"
"2011Q1","16.3163261413574"
"2011Q2","15.8663263320923"
"2011Q3","15.9810199737549"
"2011Q4","15.937047958374"
