"Quarters","Rent_VW"
"CBSAID","16700"
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1","14.0150308609009"
"2007Q2","14.6942377090454"
"2007Q3","14.0909652709961"
"2007Q4","14.6647291183472"
"2008Q1","14.5133981704712"
"2008Q2","14.6011075973511"
"2008Q3","14.8030996322632"
"2008Q4","15.124059677124"
"2009Q1","14.729959487915"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2009Q2","15.2345504760742"
"2009Q3","15.4305667877197"
"2009Q4","15.8186683654785"
"2010Q1","15.4428939819336"
"2010Q2","15.1610689163208"
"2010Q3","15.040096282959"
"2010Q4","14.485390663147"
"2011Q1","14.8981895446777"
"2011Q2","15.1281404495239"
"2011Q3","14.9702634811401"
"2011Q4","14.887186050415"
