"Quarters","Rent_VW"
"CBSAID","16620"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","11.3870811462402"
"2008Q1","10.3633136749268"
"2008Q2","10.8921613693237"
"2008Q3","10.6541652679443"
"2008Q4","14.7845630645752"
"2009Q1","14.9777965545654"
"2009Q2","9.78157043457031"
"2009Q3","9.65238094329834"
"2009Q4","9.61171913146973"
"2010Q1",NA
"2010Q2","11.7490062713623"
"2010Q3","11.7618827819824"
"2010Q4","11.9037199020386"
"2011Q1","12.5947065353394"
"2011Q2","11.1611909866333"
"2011Q3",NA
"2011Q4",NA
