"Quarters","Rent_VW"
"CBSAID","18580"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1","14.576210975647"
"2007Q2","13.8780975341797"
"2007Q3","11.2316150665283"
"2007Q4","11.7173099517822"
"2008Q1","12.311110496521"
"2008Q2","12.910135269165"
"2008Q3","12.8748340606689"
"2008Q4","12.7730913162231"
"2009Q1","13.3653039932251"
"2009Q2","13.6623697280884"
"2009Q3","13.9006395339966"
"2009Q4","13.5284175872803"
"2010Q1","12.7746391296387"
"2010Q2","12.5195341110229"
"2010Q3","12.587742805481"
"2010Q4","12.1936941146851"
"2011Q1","11.2465925216675"
"2011Q2","11.2791910171509"
"2011Q3","11.3589906692505"
"2011Q4","11.2183771133423"
