"Quarters","Rent_VW"
"CBSAID","20100"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2","13.3494567871094"
"2007Q3","13.4391899108887"
"2007Q4","13.1351194381714"
"2008Q1","14.4046277999878"
"2008Q2","14.1784572601318"
"2008Q3","13.9559602737427"
"2008Q4","13.8971376419067"
"2009Q1","13.9057626724243"
"2009Q2","13.6228313446045"
"2009Q3","12.7858896255493"
"2009Q4","12.421591758728"
"2010Q1","12.343391418457"
"2010Q2","12.1989002227783"
"2010Q3","12.3945093154907"
"2010Q4","12.2227020263672"
"2011Q1","12.2249402999878"
"2011Q2","12.4148149490356"
"2011Q3","12.4906806945801"
"2011Q4","12.4583520889282"
