"Quarters","Rent_VW"
"CBSAID","20764"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","19.8495712280273"
"2006Q2","20.4827175140381"
"2006Q3","20.2314586639404"
"2006Q4","20.107458114624"
"2007Q1","19.4290771484375"
"2007Q2","19.2051582336426"
"2007Q3","19.7252368927002"
"2007Q4","19.7145957946777"
"2008Q1","20.0253677368164"
"2008Q2","19.6430244445801"
"2008Q3","19.8334045410156"
"2008Q4","19.5972747802734"
"2009Q1","20.5164432525635"
"2009Q2","20.0866947174072"
"2009Q3","19.7291603088379"
"2009Q4","19.444709777832"
"2010Q1","18.6094455718994"
"2010Q2","18.5153560638428"
"2010Q3","18.3069019317627"
"2010Q4","18.2492198944092"
"2011Q1","18.3477210998535"
"2011Q2","18.3402881622314"
"2011Q3","17.9728355407715"
"2011Q4","17.9803276062012"
