"Quarters","Rent_VW"
"CBSAID","22900"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3","8.48189735412598"
"2007Q4","8.96542739868164"
"2008Q1","8.14801502227783"
"2008Q2","7.64962291717529"
"2008Q3","7.70536518096924"
"2008Q4","7.74590492248535"
"2009Q1","7.60345268249512"
"2009Q2","7.79082250595093"
"2009Q3","7.73293495178223"
"2009Q4","7.81434488296509"
"2010Q1","7.79521656036377"
"2010Q2","6.57667541503906"
"2010Q3","6.57657814025879"
"2010Q4","7.31179714202881"
"2011Q1","7.40005970001221"
"2011Q2","7.21054792404175"
"2011Q3","6.97052717208862"
"2011Q4","6.94343185424805"
