"Quarters","Rent_VW"
"CBSAID","24660"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","11.8426303863525"
"2006Q2","11.752462387085"
"2006Q3","11.6788120269775"
"2006Q4","11.7116327285767"
"2007Q1","11.9354581832886"
"2007Q2","12.7182779312134"
"2007Q3","12.4505767822266"
"2007Q4","12.4124393463135"
"2008Q1","12.3984098434448"
"2008Q2","12.5164499282837"
"2008Q3","12.0668230056763"
"2008Q4","12.0532655715942"
"2009Q1","11.9824533462524"
"2009Q2","11.8396320343018"
"2009Q3","11.2992658615112"
"2009Q4","11.9217929840088"
"2010Q1","11.7003717422485"
"2010Q2","11.8287897109985"
"2010Q3","12.2198171615601"
"2010Q4","12.17236328125"
"2011Q1","12.2290563583374"
"2011Q2","11.8842134475708"
"2011Q3","12.0589513778687"
"2011Q4","11.9808664321899"
