"Quarters","Rent_VW"
"CBSAID","29540"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2","10.9708671569824"
"2006Q3","10.9960813522339"
"2006Q4","10.8206062316895"
"2007Q1","11.9650745391846"
"2007Q2","12.3800754547119"
"2007Q3","12.2687902450562"
"2007Q4","12.599645614624"
"2008Q1","13.1145429611206"
"2008Q2",NA
"2008Q3",NA
"2008Q4",NA
"2009Q1","13.1193809509277"
"2009Q2","12.8305015563965"
"2009Q3","13.2049217224121"
"2009Q4","13.5851497650146"
"2010Q1","13.8574743270874"
"2010Q2","13.8246564865112"
"2010Q3","13.8799638748169"
"2010Q4","13.0771312713623"
"2011Q1","12.0790767669678"
"2011Q2","12.5253944396973"
"2011Q3","11.6582536697388"
"2011Q4","11.5981664657593"
