"Quarters","Rent_VW"
"CBSAID","31540"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","13.9368448257446"
"2006Q2","15.9442100524902"
"2006Q3","16.6287593841553"
"2006Q4","15.2961730957031"
"2007Q1","14.1247253417969"
"2007Q2","14.8658084869385"
"2007Q3","14.4995746612549"
"2007Q4","14.2286939620972"
"2008Q1","14.3738174438477"
"2008Q2","14.2058944702148"
"2008Q3","14.1282119750977"
"2008Q4","14.3277158737183"
"2009Q1","14.2126579284668"
"2009Q2","13.9337816238403"
"2009Q3","13.8470525741577"
"2009Q4","14.3795604705811"
"2010Q1","14.3212785720825"
"2010Q2","14.395975112915"
"2010Q3","14.0991744995117"
"2010Q4","13.9106597900391"
"2011Q1","14.0580472946167"
"2011Q2","14.0721130371094"
"2011Q3","13.8908929824829"
"2011Q4","13.3839616775513"
