"Quarters","Rent_VW"
"CBSAID","37340"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","10.9674777984619"
"2006Q2","11.6455888748169"
"2006Q3","11.730131149292"
"2006Q4","11.5924625396729"
"2007Q1","12.130539894104"
"2007Q2","12.7016344070435"
"2007Q3","12.8154544830322"
"2007Q4","13.2834329605103"
"2008Q1","12.6142654418945"
"2008Q2","13.1049194335938"
"2008Q3","13.8900098800659"
"2008Q4","13.6021213531494"
"2009Q1","12.8597860336304"
"2009Q2","13.2416248321533"
"2009Q3","12.5383243560791"
"2009Q4","12.4066762924194"
"2010Q1","12.3690738677979"
"2010Q2","12.3275575637817"
"2010Q3","12.132926940918"
"2010Q4","11.8764953613281"
"2011Q1","11.8016090393066"
"2011Q2","11.7331027984619"
"2011Q3","11.8863353729248"
"2011Q4","11.7226524353027"
