"Quarters","Rent_VW"
"CBSAID","33780"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1","10.4454984664917"
"2007Q2","10.3945960998535"
"2007Q3","9.21533966064453"
"2007Q4","10.3775148391724"
"2008Q1","10.1857948303223"
"2008Q2","9.89338397979736"
"2008Q3","10.2082786560059"
"2008Q4","10.6127252578735"
"2009Q1","10.6704225540161"
"2009Q2","10.6717567443848"
"2009Q3","11.647536277771"
"2009Q4","10.3224058151245"
"2010Q1","10.3667211532593"
"2010Q2",NA
"2010Q3",NA
"2010Q4",NA
"2011Q1",NA
"2011Q2",NA
"2011Q3",NA
"2011Q4",NA
