"Quarters","Rent_VW"
"CBSAID","34620"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4","7.61189842224121"
"2007Q1","6.74854707717896"
"2007Q2","6.85020637512207"
"2007Q3","6.77890396118164"
"2007Q4","7.01554870605469"
"2008Q1","7.22211217880249"
"2008Q2","7.6169261932373"
"2008Q3",NA
"2008Q4",NA
"2009Q1",NA
"2009Q2",NA
"2009Q3",NA
"2009Q4",NA
"2010Q1","9.64275455474854"
"2010Q2",NA
"2010Q3",NA
"2010Q4",NA
"2011Q1",NA
"2011Q2","10.7346172332764"
"2011Q3","10.2685108184814"
"2011Q4","9.52437400817871"
