"Quarters","Rent_VW"
"CBSAID","35840"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","14.2763156890869"
"2006Q2","15.7300653457642"
"2006Q3","15.3915300369263"
"2006Q4","15.4727373123169"
"2007Q1","15.3058490753174"
"2007Q2","15.8024530410767"
"2007Q3","16.4839191436768"
"2007Q4","16.4848537445068"
"2008Q1","16.6591053009033"
"2008Q2","16.9130668640137"
"2008Q3","17.1468753814697"
"2008Q4","16.7895927429199"
"2009Q1","16.4024524688721"
"2009Q2","16.5136413574219"
"2009Q3","16.1926288604736"
"2009Q4","14.6448850631714"
"2010Q1","14.4756078720093"
"2010Q2","14.3076658248901"
"2010Q3","14.0069990158081"
"2010Q4","13.602858543396"
"2011Q1","13.4010429382324"
"2011Q2","13.7473917007446"
"2011Q3","13.864951133728"
"2011Q4","13.6390676498413"
