"Quarters","Rent_VW"
"CBSAID","45940"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","16.9878177642822"
"2006Q2","17.2698974609375"
"2006Q3","17.9176654815674"
"2006Q4","17.8530006408691"
"2007Q1","17.619665145874"
"2007Q2","17.715311050415"
"2007Q3","18.6418838500977"
"2007Q4","18.9555549621582"
"2008Q1","19.7397041320801"
"2008Q2","20.1855812072754"
"2008Q3","19.8181476593018"
"2008Q4","19.7051010131836"
"2009Q1","19.5489311218262"
"2009Q2","18.0808353424072"
"2009Q3","19.6889514923096"
"2009Q4","17.3251457214355"
"2010Q1","17.3558101654053"
"2010Q2","17.5258674621582"
"2010Q3","17.6848316192627"
"2010Q4","17.9095039367676"
"2011Q1","17.4428997039795"
"2011Q2","17.8681049346924"
"2011Q3","18.11741065979"
"2011Q4","18.0448608398438"
