"Quarters","Rent_VW"
"CBSAID","46540"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2","8.16353988647461"
"2007Q3","7.50735759735107"
"2007Q4","7.1566948890686"
"2008Q1","8.28434467315674"
"2008Q2","8.07948780059814"
"2008Q3","8.03535461425781"
"2008Q4","8.37344837188721"
"2009Q1","7.91177368164062"
"2009Q2","8.20454025268555"
"2009Q3","8.25580215454102"
"2009Q4","8.13375091552734"
"2010Q1","8.2286376953125"
"2010Q2","8.10609436035156"
"2010Q3","8.3355131149292"
"2010Q4","8.09938049316406"
"2011Q1","8.03870105743408"
"2011Q2","7.91433525085449"
"2011Q3","7.10787439346313"
"2011Q4","7.08226442337036"
